day	app	value
64_04/27/2020	07_Microsoft Teams	191
64_04/27/2020	08_WhatsApp	24
64_04/27/2020	09_Adobe Premiere Pro 2020	0
64_04/27/2020	10_zoom.us	0
64_04/27/2020	11_Photoshop	0
64_04/27/2020	12_Adobe After Effects	111
64_04/27/2020	13_Sparkle	0
64_04/27/2020	14_Mail	6
64_04/27/2020	15_Acrobat Pro DC	11
64_04/27/2020	16_Adobe Illustrator 2020	0
64_04/27/2020	17_QuickTime Player	0
65_04/28/2020	01_Safari	105
65_04/28/2020	02_InDesign	140
65_04/28/2020	03_Finder	69
65_04/28/2020	04_Sublime Text	0
65_04/28/2020	05_Skype	67
65_04/28/2020	06_Microsoft Word	146
65_04/28/2020	07_Microsoft Teams	0
65_04/28/2020	08_WhatsApp	23
65_04/28/2020	09_Adobe Premiere Pro 2020	16
65_04/28/2020	10_zoom.us	0
65_04/28/2020	11_Photoshop	165
65_04/28/2020	12_Adobe After Effects	1
65_04/28/2020	13_Sparkle	0
65_04/28/2020	14_Mail	21
65_04/28/2020	15_Acrobat Pro DC	6
65_04/28/2020	16_Adobe Illustrator 2020	0
65_04/28/2020	17_QuickTime Player	1
66_04/29/2020	01_Safari	151
66_04/29/2020	02_InDesign	212
66_04/29/2020	03_Finder	568
66_04/29/2020	04_Sublime Text	82
66_04/29/2020	05_Skype	16
