day	app	value
53_04/08/2020	TextEdit	0
53_04/08/2020	WhatsApp	2
54_04/09/2020	Adobe After Effects CC 2019 (16.1.1)	0
54_04/09/2020	Adobe Illustrator 2019	0
54_04/09/2020	Adobe Premiere Pro CC 2019	0
54_04/09/2020	Anteprima	0
54_04/09/2020	Finder	44
54_04/09/2020	Foto	115
54_04/09/2020	Google Chrome	62
54_04/09/2020	InDesign	0
54_04/09/2020	Photoshop CC	31
54_04/09/2020	QuickTime Player	151
54_04/09/2020	Safari	228
54_04/09/2020	Skype	0
54_04/09/2020	Sublime Text	14
54_04/09/2020	Telegram	0
54_04/09/2020	TextEdit	0
54_04/09/2020	WhatsApp	9
55_04/10/2020	Adobe After Effects CC 2019 (16.1.1)	0
55_04/10/2020	Adobe Illustrator 2019	0
55_04/10/2020	Adobe Premiere Pro CC 2019	0
55_04/10/2020	Anteprima	2
55_04/10/2020	Finder	41
55_04/10/2020	Foto	0
55_04/10/2020	Google Chrome	0
55_04/10/2020	InDesign	0
55_04/10/2020	Photoshop CC	0
55_04/10/2020	QuickTime Player	176
55_04/10/2020	Safari	44
55_04/10/2020	Skype	0
55_04/10/2020	Sublime Text	0
55_04/10/2020	Telegram	1
55_04/10/2020	TextEdit	0
55_04/10/2020	WhatsApp	0
56_04/11/2020	Adobe After Effects CC 2019 (16.1.1)	0
56_04/11/2020	Adobe Illustrator 2019	0
56_04/11/2020	Adobe Premiere Pro CC 2019	0
56_04/11/2020	Anteprima	59
56_04/11/2020	Finder	19
56_04/11/2020	Foto	0
56_04/11/2020	Google Chrome	0
56_04/11/2020	InDesign	0
56_04/11/2020	Photoshop CC	149
56_04/11/2020	QuickTime Player	51
56_04/11/2020	Safari	72
56_04/11/2020	Skype	0
56_04/11/2020	Sublime Text	0
56_04/11/2020	Telegram	2
56_04/11/2020	TextEdit	53
56_04/11/2020	WhatsApp	6
57_04/12/2020	Adobe After Effects CC 2019 (16.1.1)	0
57_04/12/2020	Adobe Illustrator 2019	0
57_04/12/2020	Adobe Premiere Pro CC 2019	0
57_04/12/2020	Anteprima	0
57_04/12/2020	Finder	6
57_04/12/2020	Foto	0
57_04/12/2020	Google Chrome	0
57_04/12/2020	InDesign	0
57_04/12/2020	Photoshop CC	0
57_04/12/2020	QuickTime Player	268
57_04/12/2020	Safari	41
57_04/12/2020	Skype	0
57_04/12/2020	Sublime Text	0
57_04/12/2020	Telegram	6
57_04/12/2020	TextEdit	0
57_04/12/2020	WhatsApp	37
58_04/13/2020	Adobe After Effects CC 2019 (16.1.1)	0
58_04/13/2020	Adobe Illustrator 2019	0
58_04/13/2020	Adobe Premiere Pro CC 2019	0
58_04/13/2020	Anteprima	11
58_04/13/2020	Finder	220
58_04/13/2020	Foto	20
58_04/13/2020	Google Chrome	0
58_04/13/2020	InDesign	0
58_04/13/2020	Photoshop CC	0
58_04/13/2020	QuickTime Player	82
58_04/13/2020	Safari	481
58_04/13/2020	Skype	0
58_04/13/2020	Sublime Text	13
58_04/13/2020	Telegram	0
58_04/13/2020	TextEdit	0
58_04/13/2020	WhatsApp	0
59_04/14/2020	Adobe After Effects CC 2019 (16.1.1)	0
