time	type	activeApp	leftMouseDown	leftMouseUp	rightMouseDown	rightMouseUp	mouseMoved	leftMouseDragged	rightMouseDragged	keyDown	keyUp	flagsChanged	scrollWheel
1583259719.049747	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583260037.572584	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583260041.090781	appActivated	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583260042.024760	didWake	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583260905.240763	appActivated	Lightroom Classic	1	1	1	1	42892	31679	52	13	13	246	1133
1583261195.407246	appActivated	Photoshop	22	22	0	0	2691	935	0	27	27	0	8
1583261253.792520	appActivated	Lightroom Classic	18	18	0	0	1901	3	0	0	0	0	0
1583261300.650499	appActivated	Photoshop	5	5	1	1	613	0	0	0	0	2	2
1583261777.761081	appActivated	Lightroom Classic	4	4	0	0	15936	18780	0	6	6	136	381
1583261806.761132	appActivated	Photoshop	0	0	0	0	2799	42	0	0	0	0	0
1583262094.472625	appActivated	Lightroom Classic	1	1	0	0	19123	11141	0	16	16	102	536
1583262600.826434	appActivated	Finder	46	45	0	0	16877	3288	0	74	74	18	1105
1583262628.980339	appActivated	Lightroom Classic	24	25	0	0	946	222	0	5	5	0	0
1583262995.960728	screenDidSleep	Lightroom Classic	1	1	0	0	87	0	0	0	0	0	221
1583262996.623691	willSleep	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583262997.848581	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583263225.060393	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583263229.051657	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583263230.656372	appActivated	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583263402.132370	screenDidSleep	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583263403.855696	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583263422.540832	willSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583263479.989194	appActivated	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583263480.272385	screenDidWake	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583263484.053434	didWake	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
